ticker,company_name,market,revenue_period,period_type,revenue,currency,source
2376.TW,技嘉,TW,2021-09,monthly,12747208000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-09,monthly,19203131000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2021-09-25,quarterly,4313000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2021-10,monthly,44987950000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-10,monthly,10924392000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-10,monthly,19925373000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2021-11,monthly,55173366000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-11,monthly,11835437000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-11,monthly,19841796000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2021-12,monthly,51475119000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-12,monthly,7695562000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-12,monthly,15508581000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2022-01,monthly,43155373000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-01,monthly,14205060000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-01,monthly,20386768000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2022-02,monthly,40233908000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-02,monthly,8896060000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-02,monthly,14870306000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2022-03,monthly,55033532000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-03,monthly,9500937000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-03,monthly,17781712000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2022-03-26,quarterly,5887000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2022-04,monthly,33389173000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-04,monthly,7626462000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-04,monthly,15608092000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2022-05,monthly,38083971000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-05,monthly,6840822000.0,TWD,https://api.finmindtrade.com/api/v4/data
